symbol,Ametal,Bmetal,Surface,Crystal System,DFT_ads_E,surface_energy,Cost,activity_score,stability_score,cost_score,asci_score,asci_rank,key,AandB,experimentally_observed,distance_from_optimal
Cu6Sn2,Cu,Sn,210,Hexagonal,-0.2554544,0.9981654035778816,15.4369325,0.9030293333333334,0.7347705660598249,0.834436380594267,0.824182336201793,14,mp-13138_H_2_210,Cu-Sn,True,0.014545599999999992
Cu6Sn2,Cu,Sn,210,Hexagonal,-0.22746902,0.9030209395126564,15.4369325,0.7164601333333331,0.7700210931323369,0.834436380594267,0.774247174135722,44,mp-13138_H_4_210,Cu-Sn,True,0.042530980000000024
Cu6Sn2,Cu,Sn,210,Hexagonal,-0.20765169,1.0106878362310758,15.4369325,0.5843445999999999,0.730131070156495,0.834436380594267,0.7174853405536941,73,mp-13138_H_5_210,Cu-Sn,True,0.06234831000000002
Sn2Pt2,Pt,Sn,210,Hexagonal,-0.22154882,0.8569125587193728,15368.911025,0.6769921333333333,0.787104007428949,0.1834627316175931,0.5455290552015349,178,mp-19856_H_1_210,Pt-Sn,True,0.04845118000000001
Sn2Pt2,Pt,Sn,210,Hexagonal,-0.20230904,1.0118959707318125,15368.911025,0.5487269333333331,0.729683462633095,0.1834627316175931,0.48425275941890294,211,mp-19856_H_2_210,Pt-Sn,True,0.06769096000000002
Mn6Sn2,Mn,Sn,210,Hexagonal,-0.12484246,1.4455441953254915,7.70825,0.03228306666666647,0.5690190600199606,0.8999239291172246,0.5044038377064434,202,mp-22389_H_1_210,Mn-Sn,True,0.14515754000000003
Sb2Pt2,Pt,Sb,210,Hexagonal,-0.28421273,0.7054267969024379,15368.220765,0.9052484666666666,0.843228691092806,0.18346696691159967,0.6393762308105698,121,mp-2845_H_0_210,Pt-Sb,True,0.014212730000000007
Sn6Pt4,Pt,Sn,210,Hexagonal,-0.14253215,0.7229070660120318,12301.25723,0.15021433333333312,0.8367523426732056,0.20445781490354423,0.39521466014936285,278,mp-30846_H_0_210,Pt-Sn,True,0.12746785000000002
Sn6Pt4,Pt,Sn,210,Hexagonal,-0.20551233,0.8252111502270947,12301.25723,0.5700821999999999,0.7988492137241648,0.20445781490354423,0.5212630235961795,193,mp-30846_H_1_210,Pt-Sn,True,0.06448767000000002
Sn6Pt4,Pt,Sn,210,Hexagonal,-0.27412836,0.7156628550028721,12301.25723,0.9724776,0.8394362850213628,0.20445781490354423,0.6674472391242549,107,mp-30846_H_2_210,Pt-Sn,True,0.004128359999999998
Ni2Sb2,Ni,Sb,210,Hexagonal,-0.22402089,0.7906654469177574,22.50325,0.6934725999999999,0.8116482163956177,0.7988956169806442,0.7683143791839728,48,mp-810_H_1_210,Ni-Sb,True,0.04597911000000002
Ni2Sb2,Ni,Sb,210,Hexagonal,-0.24526628,0.9797380170082992,22.50325,0.8351085333333332,0.7415978165523117,0.7988956169806442,0.7919376052356819,31,mp-810_H_2_210,Ni-Sb,True,0.024733720000000015
CuNi,Cu,Ni,210,Hexagonal,-0.34569393,1.8986047780319533,13.056765,0.4953738000000002,0.40116248010130445,0.8502272525561897,0.5849342383025351,150,mp-1184069_H_0_210,Cu-Ni,False,0.07569392999999996
SnMo3,Mo,Sn,210,Orthorhombic,-0.34396635,1.773033500360723,54.1163225,0.5068910000000002,0.4476859827198606,0.7161510476654304,0.5585017605038005,170,mp-1218950_H_0_210,Mo-Sn,False,0.07396634999999996
Cu6Sb2,Cu,Sb,210,Orthorhombic,-0.22038803,0.7201282631813798,15.0918025,0.6692535333333333,0.8377818746104914,0.836568574024049,0.7817549997896388,38,mp-20900_H_0_210,Cu-Sb,True,0.049611970000000005
Cu6Sb2,Cu,Sb,210,Orthorhombic,-0.12521583,0.6388625676303543,15.0918025,0.03477219999999981,0.8678903904262313,0.836568574024049,0.5823119700088331,153,mp-20900_H_1_210,Cu-Sb,True,0.14478417000000002
Ta2Pt6,Pt,Ta,210,Orthorhombic,-0.34875783,1.968447770880666,23118.0475,0.47494780000000014,0.3752860159851052,0.14496382855438605,0.32986486098357604,308,mp-30850_H_0_210,Pt-Ta,True,0.07875782999999997
Cu6Sn2,Cu,Sn,210,Orthorhombic,-0.18912976,0.8860990970916668,15.4369325,0.4608650666666666,0.7762905473800265,0.834436380594267,0.6919697220374595,90,mp-581786_H_0_210,Cu-Sn,True,0.08087024000000001
Cu6Sn2,Cu,Sn,210,Orthorhombic,-0.22411983,0.8525255541800856,15.4369325,0.6941321999999999,0.7887293697009291,0.834436380594267,0.7730526874033574,45,mp-581786_H_1_210,Cu-Sn,True,0.045880170000000026
Fe2Sb4,Fe,Sb,210,Orthorhombic,-0.20212316,0.8335200912423852,19.54103666666666,0.5474877333333332,0.7957707944689718,0.812205176446521,0.7194250741665777,71,mp-20714_H_1_210,Fe-Sb,True,0.06787684000000002
Fe2Sb4,Fe,Sb,210,Orthorhombic,-0.21670568,0.9976161880238598,19.54103666666666,0.6447045333333332,0.7349740475544752,0.812205176446521,0.731443691684794,63,mp-20714_H_2_210,Fe-Sb,True,0.053294320000000006
Sb4Ru2,Ru,Sb,210,Orthorhombic,-0.16573081,0.9835541515149754,6771.164353333331,0.30487206666666655,0.7401839586462152,0.2607566228148127,0.4335257401102873,252,mp-20928_H_1_210,Ru-Sb,True,0.10426919000000001
Sb4Ru2,Ru,Sb,210,Orthorhombic,-0.26346584,1.1325907797430754,6771.164353333331,0.9564389333333333,0.6849666661871502,0.2607566228148127,0.6303210995987959,123,mp-20928_H_2_210,Ru-Sb,True,0.006534160000000011
Co2Sb4,Co,Sb,210,Orthorhombic,-0.22258749,0.9951376413972112,30.74097333333332,0.6839165999999999,0.7358923361361762,0.7694804976404697,0.7301603181226979,64,mp-9835_H_0_210,Co-Sb,True,0.04741251000000002
Co2Sb4,Co,Sb,210,Orthorhombic,-0.20560689,0.8303164749186156,30.74097333333332,0.5707125999999998,0.7969577175869953,0.7694804976404697,0.7129545740014681,78,mp-9835_H_1_210,Co-Sb,True,0.06439311000000003
Co2Sb4,Co,Sb,210,Orthorhombic,-0.19998723,0.9876986091869768,30.74097333333332,0.5332481999999998,0.7386484587219357,0.7694804976404697,0.6813492665759984,97,mp-9835_H_2_210,Co-Sb,True,0.07001277000000003
Co2Pt2,Co,Pt,210,Tetragonal,-0.35346223,2.2140701838383743,15370.43993,0.4435851333333335,0.2842841946742426,0.18345335124684592,0.30257101766642774,322,mp-949_H_1_210,Co-Pt,True,0.08346222999999997
Cu3Sb,Cu,Sb,211,Cubic,-0.15197787,0.3570892531086651,15.0918025,0.21318579999999976,0.972285931979222,0.836568574024049,0.67563898672132,102,mp-2002_H_0_211,Cu-Sb,True,0.11802213000000003
Sn2Ir,Ir,Sn,211,Cubic,-0.20751188,0.8750796056580818,45567.318033333315,0.5834125333333333,0.7803732114101545,0.08097510632398343,0.4775808319155054,217,mp-2083_H_0_211,Ir-Sn,True,0.06248812000000001
Cu3Sn,Cu,Sn,211,Cubic,-0.10302578,0.7322990380782837,15.4369325,0.0,0.8332726660694391,0.834436380594267,0.5586883492049657,169,mp-838_H_0_211,Cu-Sn,True,0.16697422
Sn14Ir6,Ir,Sn,211,Cubic,-0.10270811,0.7011248488268959,41013.650435,0.0,0.8448225403891504,0.09090338607182458,0.30969858959283997,319,mp-22040_H_0_211,Ir-Sn,True,0.16729189
MnSb,Mn,Sb,211,Cubic,-0.17487366,0.9095204923795824,14.66259,0.3658243999999997,0.7676130427371217,0.8392893049663716,0.6593927197918165,108,mp-1009207_H_0_211,Mn-Sb,False,0.09512634000000003
TiPt,Pt,Ti,211,Cubic,-0.24028649,1.3969900051421902,15357.00586,0.8019099333333332,0.5870081339230625,0.1835358059379688,0.5207451362135199,194,mp-11552_H_0_211,Pt-Ti,True,0.029713510000000026
Cu3Pt,Cu,Pt,211,Cubic,-0.3031862,1.3477229481657298,7684.57142,0.7787586666666666,0.6052613212502952,0.24882396073538138,0.541326742662627,180,mp-12086_H_0_211,Cu-Pt,True,0.0331862
Cu3Pt,Cu,Pt,211,Cubic,-0.33866303,1.353102272942543,7684.57142,0.5422464666666669,0.603268309512409,0.24882396073538138,0.46262002278912473,229,mp-12086_H_1_211,Cu-Pt,True,0.06866302999999996
Cu2Sn2,Cu,Sn,211,Hexagonal,-0.35658364,0.8383116687735297,20.505305,0.4227757333333335,0.7939955400162708,0.8076631128972036,0.6761399785904186,100,mp-10598_H_3_211,Cu-Sn,True,0.08658363999999996
Nb2Sn6,Nb,Sn,211,Hexagonal,-0.10922943,0.4518995579343862,43.0840375,0.0,0.9371592091598989,0.7376495001821467,0.5600633690846966,168,mp-1186237_H_0_211,Nb-Sn,False,0.16077057
Ta2Sn6,Sn,Ta,211,Hexagonal,-0.31255709,0.2822863957363477,110.6440375,0.7162860666666668,1.0,0.6487105175933896,0.7869359779817526,34,mp-1187261_H_2_211,Sn-Ta,False,0.042557089999999964
Cu6Sn2,Cu,Sn,211,Hexagonal,-0.20387758,0.8831802506571611,15.4369325,0.5591838666666665,0.7773719647412038,0.834436380594267,0.724771793766648,68,mp-13138_H_0_211,Cu-Sn,True,0.06612242000000002
Cu6Sn2,Cu,Sn,211,Hexagonal,-0.18827694,0.8822354922708245,15.4369325,0.4551795999999999,0.777721992789622,0.834436380594267,0.690565895022626,91,mp-13138_H_1_211,Cu-Sn,True,0.08172306000000001
Cu6Sn2,Cu,Sn,211,Hexagonal,-0.28712313,0.8657146793792481,15.4369325,0.8858458000000001,0.7838428676909214,0.834436380594267,0.8347056297400549,11,mp-13138_H_2_211,Cu-Sn,True,0.017123129999999986
Sn2Pt2,Pt,Sn,211,Hexagonal,-0.31098323,0.949450943414734,15368.911025,0.7267784666666668,0.7528190191534976,0.1834627316175931,0.550644499070636,177,mp-19856_H_0_211,Pt-Sn,True,0.04098322999999998
Sn2Pt2,Pt,Sn,211,Hexagonal,-0.35511669,1.08815628902799,15368.911025,0.43255540000000003,0.7014294129511828,0.1834627316175931,0.43659231702387197,249,mp-19856_H_1_211,Pt-Sn,True,0.08511669
Sn2Pt2,Pt,Sn,211,Hexagonal,-0.16979861,0.9583101237479048,15368.911025,0.33199073333333307,0.7495367391044911,0.1834627316175931,0.4192813946544637,262,mp-19856_H_2_211,Pt-Sn,True,0.10020139000000003
Sb2Pt2,Pt,Sb,211,Hexagonal,-0.2119453,0.8368014676035871,15368.220765,0.6129686666666665,0.7945550616631583,0.18346696691159967,0.526861599098786,187,mp-2845_H_1_211,Pt-Sb,True,0.058054700000000015
Sb2Pt2,Pt,Sb,211,Hexagonal,-0.37844286,0.8663262721000815,15368.220765,0.27704760000000017,0.7836162757817136,0.18346696691159967,0.41239784775790944,270,mp-2845_H_3_211,Pt-Sb,True,0.10844285999999997
