key,Bulk_id,symbol,Surface,in_domain,Bulk_concentration,surface_concentration,Crystal System,Point Group,EqV2_predicted_H_ads_E,single_point_DFT_H_ads_E
mp-19856_H_2_211,mp-19856,Sn2Pt2,211,False,"{'Pt': 50.0, 'Sn': 50.0}","{'Pt': 33.33333333333333, 'Sn': 66.66666666666666}",Hexagonal,P63mmc,-0.14697265625,-0.16484004
mp-1187108_H_6_211,mp-1187108,Sn6Ru2,211,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 16.666666666666664, 'Sn': 83.33333333333334}",Hexagonal,P63mmc,-0.166015625,-0.30859936
mp-1187108_H_1_211,mp-1187108,Sn6Ru2,211,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 33.33333333333333, 'Sn': 66.66666666666666}",Hexagonal,P63mmc,-0.19384765625,-0.42973303
mp-1187108_H_0_211,mp-1187108,Sn6Ru2,211,False,"{'Ru': 25.0, 'Sn': 75.0}","{'Ru': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.13623046875,0.12696485
mp-510164_H_5_211,mp-510164,Fe4Sn2,211,False,"{'Fe': 66.66666666666666, 'Sn': 33.33333333333333}","{'Fe': 63.63636363636363, 'Sn': 36.36363636363637}",Hexagonal,P63mmc,-0.3515625,-0.1985814
mp-20714_H_1_211,mp-20714,Fe2Sb4,211,False,"{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}","{'Fe': 33.33333333333333, 'Sb': 66.66666666666666}",Orthorhombic,Pnnm,-0.35400390625,-0.34010683
mp-20155_H_2_211,mp-20155,Co2Sn4,211,False,"{'Co': 33.33333333333333, 'Sn': 66.66666666666666}","{'Co': 22.22222222222222, 'Sn': 77.77777777777779}",Tetragonal,I4mcm,-0.264404296875,-0.21125738
mp-1187261_H_3_211,mp-1187261,Ta2Sn6,211,False,"{'Sn': 75.0, 'Ta': 25.0}","{'Sn': 66.66666666666666, 'Ta': 33.33333333333333}",Hexagonal,P63mmc,-0.348388671875,-0.58901712
mp-810_H_0_211,mp-810,Ni2Sb2,211,False,"{'Ni': 50.0, 'Sb': 50.0}","{'Ni': 40.0, 'Sb': 60.0}",Hexagonal,P63mmc,-0.257568359375,-0.25046746
mp-838_H_0_211,mp-838,Cu3Sn,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 75.0, 'Sn': 25.0}",Cubic,Fm3m,-0.12158203125,-0.10041177
mp-1186237_H_2_211,mp-1186237,Nb2Sn6,211,False,"{'Nb': 25.0, 'Sn': 75.0}","{'Nb': 25.0, 'Sn': 75.0}",Hexagonal,P63mmc,-0.1044921875,-0.25832524
mp-810_H_1_211,mp-810,Ni2Sb2,211,False,"{'Ni': 50.0, 'Sb': 50.0}","{'Ni': 33.33333333333333, 'Sb': 66.66666666666666}",Hexagonal,P63mmc,-0.287109375,-0.30119248
mp-1187261_H_2_211,mp-1187261,Ta2Sn6,211,False,"{'Sn': 75.0, 'Ta': 25.0}","{'Sn': 75.0, 'Ta': 25.0}",Hexagonal,P63mmc,-0.240234375,-0.30214954
mp-1186237_H_3_211,mp-1186237,Nb2Sn6,211,False,"{'Nb': 25.0, 'Sn': 75.0}","{'Nb': 33.33333333333333, 'Sn': 66.66666666666666}",Hexagonal,P63mmc,-0.24365234375,-0.30266756
mp-6912_H_0_211,mp-6912,Mn4Sb2,211,False,"{'Mn': 66.66666666666666, 'Sb': 33.33333333333333}","{'Mn': 70.0, 'Sb': 30.0}",Hexagonal,P63mmc,-0.31103515625,-0.53426473
mp-2845_H_3_211,mp-2845,Sb2Pt2,211,False,"{'Pt': 50.0, 'Sb': 50.0}","{'Pt': 44.44444444444444, 'Sb': 55.55555555555556}",Hexagonal,P63mmc,-0.328369140625,-0.36580809
mp-972318_H_3_211,mp-972318,Ti2Sn6,211,False,"{'Sn': 75.0, 'Ti': 25.0}","{'Sn': 66.66666666666666, 'Ti': 33.33333333333333}",Hexagonal,P63mmc,-0.162109375,-0.4705809
mp-11552_H_0_211,mp-11552,TiPt,211,False,"{'Pt': 50.0, 'Ti': 50.0}","{'Pt': 50.0, 'Ti': 50.0}",Cubic,Pm3m,-0.2353515625,-0.23194444
mp-581786_H_3_211,mp-581786,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 76.92307692307693, 'Sn': 23.076923076923077}",Orthorhombic,Pmmn,-0.18798828125,-0.14177416
mp-581786_H_5_211,mp-581786,Cu6Sn2,211,False,"{'Cu': 75.0, 'Sn': 25.0}","{'Cu': 75.0, 'Sn': 25.0}",Orthorhombic,Pmmn,-0.169921875,-0.14626656
